date,date,open,high,low,close,volume,amount,amplitude,pct_change,change,turnover_rate,fetch_time
2021-04-08,,0.99,0.997,0.986,0.994,,639827.36,,,,,2026-02-12 22:44:11
2021-04-09,,1.004,1.011,1.0,1.001,,386526.56,,,,,2026-02-12 22:44:11
2021-04-12,,1.002,1.002,0.991,0.992,,70585.15,,,,,2026-02-12 22:44:11
2021-04-13,,0.995,1.002,0.995,1.001,,87099.85,,,,,2026-02-12 22:44:11
2021-04-14,,1.001,1.003,0.997,1.002,,169428.65,,,,,2026-02-12 22:44:11
2021-04-15,,1.003,1.004,1.001,1.002,,20340.33,,,,,2026-02-12 22:44:11
2021-04-16,,1.002,1.005,1.002,1.004,,32222.07,,,,,2026-02-12 22:44:11
2021-04-19,,1.002,1.006,1.002,1.003,,17346.7,,,,,2026-02-12 22:44:11
2021-04-20,,1.0,1.0,0.983,0.983,,10853.32,,,,,2026-02-12 22:44:11
2021-04-21,,0.98,0.98,0.97,0.972,,9536.19,,,,,2026-02-12 22:44:11
2021-04-22,,0.981,0.994,0.98,0.993,,12928.0,,,,,2026-02-12 22:44:11
2021-04-23,,0.99,0.99,0.984,0.988,,854.51,,,,,2026-02-12 22:44:11
2021-04-26,,0.988,0.996,0.988,0.992,,4507.0,,,,,2026-02-12 22:44:11
2021-04-27,,0.99,0.99,0.982,0.983,,5409.49,,,,,2026-02-12 22:44:11
2021-04-28,,0.984,0.984,0.977,0.978,,1977.98,,,,,2026-02-12 22:44:11
2021-04-29,,0.978,0.981,0.977,0.979,,1193.0,,,,,2026-02-12 22:44:11
2021-04-30,,0.978,0.978,0.967,0.968,,7619.05,,,,,2026-02-12 22:44:11
2021-05-06,,0.979,0.984,0.975,0.98,,3322.32,,,,,2026-02-12 22:44:11
2021-05-07,,0.982,0.983,0.98,0.98,,913.01,,,,,2026-02-12 22:44:11
2021-05-10,,0.987,0.993,0.982,0.982,,1303.0,,,,,2026-02-12 22:44:11
2021-05-11,,0.982,0.982,0.95,0.955,,25485.68,,,,,2026-02-12 22:44:11
2021-05-12,,0.956,0.956,0.938,0.948,,20202.53,,,,,2026-02-12 22:44:11
2021-05-13,,0.935,0.939,0.922,0.924,,11645.0,,,,,2026-02-12 22:44:11
2021-05-14,,0.928,0.938,0.927,0.937,,8964.14,,,,,2026-02-12 22:44:11
2021-05-17,,0.938,0.938,0.929,0.933,,7381.0,,,,,2026-02-12 22:44:11
2021-05-18,,0.95,0.953,0.942,0.951,,8665.01,,,,,2026-02-12 22:44:11
2021-05-19,,0.911,0.952,0.911,0.94,,5032.0,,,,,2026-02-12 22:44:11
2021-05-20,,0.939,0.944,0.938,0.942,,3066.0,,,,,2026-02-12 22:44:11
2021-05-21,,0.946,0.952,0.945,0.949,,3713.0,,,,,2026-02-12 22:44:11
2021-05-24,,0.949,0.952,0.947,0.949,,3792.0,,,,,2026-02-12 22:44:11
2021-05-25,,0.95,0.955,0.95,0.953,,3583.0,,,,,2026-02-12 22:44:11
2021-05-26,,0.954,0.955,0.951,0.952,,1011.0,,,,,2026-02-12 22:44:11
2021-05-27,,0.951,0.951,0.944,0.948,,1585.0,,,,,2026-02-12 22:44:11
2021-05-28,,0.958,0.96,0.953,0.954,,3325.0,,,,,2026-02-12 22:44:11
2021-05-31,,0.953,0.953,0.944,0.948,,2429.0,,,,,2026-02-12 22:44:11
2021-06-01,,0.948,0.949,0.942,0.948,,2212.02,,,,,2026-02-12 22:44:11
2021-06-02,,0.954,0.954,0.948,0.951,,1466.02,,,,,2026-02-12 22:44:11
2021-06-03,,0.954,0.959,0.953,0.959,,2729.01,,,,,2026-02-12 22:44:11
2021-06-04,,0.958,0.96,0.948,0.949,,7722.01,,,,,2026-02-12 22:44:11
2021-06-07,,0.951,0.956,0.95,0.956,,624.01,,,,,2026-02-12 22:44:11
2021-06-08,,0.955,0.96,0.953,0.954,,2528.16,,,,,2026-02-12 22:44:11
2021-06-09,,0.954,0.955,0.95,0.95,,716.0,,,,,2026-02-12 22:44:11
2021-06-10,,0.952,0.954,0.951,0.954,,887.0,,,,,2026-02-12 22:44:11
2021-06-11,,0.955,0.958,0.955,0.955,,946.01,,,,,2026-02-12 22:44:11
