date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,98.311,98.146,98.348,98.086,13490,142520792.0,0.27,-0.18,-0.178,0.7
2024-01-03,98.105,97.89,98.105,96.124,14360,151249921.0,2.02,-0.26,-0.256,0.75
2024-01-04,97.891,98.129,98.219,97.89,7519,79398646.0,0.34,0.24,0.239,0.39
2024-01-05,98.236,98.633,98.9,98.184,5262,55821496.0,0.73,0.51,0.504,0.27
2024-01-08,98.624,98.724,98.828,98.505,14368,152626455.0,0.33,0.09,0.091,0.75
2024-01-09,98.861,99.195,99.396,98.855,11169,119116186.0,0.55,0.48,0.471,0.58
2024-01-10,99.197,99.224,99.499,99.113,15187,162032611.0,0.39,0.03,0.029,0.79
2024-01-11,99.055,99.022,99.159,98.927,18214,194006734.0,0.23,-0.2,-0.202,0.95
2024-01-12,99.099,98.841,99.099,98.661,14095,149955626.0,0.44,-0.18,-0.181,0.73
2024-01-15,98.692,98.986,98.999,98.598,17142,182382103.0,0.41,0.15,0.145,0.89
2024-01-16,98.947,98.972,99.036,98.94,15569,165780621.0,0.1,-0.01,-0.014,0.81
2024-01-17,98.945,99.186,99.224,98.905,14516,154713597.0,0.32,0.22,0.214,0.76
2024-01-18,99.33,99.262,99.485,99.101,20321,217261614.0,0.39,0.08,0.076,1.06
2024-01-19,99.28,99.522,99.573,99.28,21669,231707831.0,0.3,0.26,0.26,1.13
2024-01-22,99.595,100.259,100.501,99.595,31305,336570199.0,0.91,0.74,0.737,1.63
2024-01-23,100.458,100.357,100.488,100.058,21857,235683708.0,0.43,0.1,0.098,1.14
2024-01-24,100.194,100.306,100.58,100.11,25808,278396114.0,0.47,-0.05,-0.051,1.34
2024-01-25,100.26,100.348,100.501,100.002,19422,209291198.0,0.5,0.04,0.042,1.01
2024-01-26,100.35,100.451,100.589,100.349,19724,212909877.0,0.24,0.1,0.103,1.03
2024-01-29,100.397,100.513,100.529,100.362,20152,217518083.0,0.17,0.06,0.062,1.05
2024-01-30,100.898,101.548,101.55,100.57,26827,291516435.0,0.97,1.03,1.035,1.4
2024-01-31,102.239,102.486,102.5,101.8,25532,280309589.0,0.69,0.92,0.938,1.33
